Terms,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,TFNorm,DF,IDF,TFIDF
ji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
juaraaaaa,0.0,0.0,0.0,0.0,0.42853734036956914,0.0,0.0,0.0,0.0,0.0,0.4285373403695692,1,2.7047480922384253,1.1590855538175209
kak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5307396709417979,0.0,0.5307396709417979,1,2.7047480922384253,1.4355171124550774
kalo,0.0,0.0,0.24121682702239247,0.0,0.0,0.0,0.25806723259384723,0.0,0.0,0.0,0.4992840596162397,2,2.2992829841302607,1.1479953425230986
kayak,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
kebel,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
kelupas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3538264472945319,0.0,0.3538264472945319,1,2.7047480922384253,0.9570114083033848
kerja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
kerut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
kesini,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
ko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
kog,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
kok,0.0,0.0,0.0,0.0,0.0,0.3242141791770686,0.0,0.0,0.0,0.0,0.3242141791770686,1,2.7047480922384253,0.8769176826058233
kombinasi,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
kulit,0.20511132744227925,0.0,0.12060841351119624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3257197409534755,2,2.2992829841302607,0.7489218579696426
lama,0.0,0.0,0.0,0.0,0.42853734036956914,0.0,0.0,0.0,0.0,0.0,0.4285373403695692,1,2.7047480922384253,1.1590855538175209
laneige,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
lebih,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
lg,0.0,0.0,0.0,0.23832890708322513,0.0,0.0,0.0,0.24392148141555453,0.0,0.0,0.48225038849877955,2,2.2992829841302607,1.1088301123654518
liat,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
luminous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
mahal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
makasiiii,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
malah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
mampir,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
mask,0.0,0.0,0.4256310057577021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4256310057577021,1,2.7047480922384253,1.151224650820667
masknya,0.0,0.0,0.0,0.0,0.42853734036956914,0.0,0.0,0.0,0.0,0.0,0.4285373403695692,1,2.7047480922384253,1.1590855538175209
mau,0.20511132744227925,0.0,0.0,0.0,0.0,0.0,0.0,0.12196074070777727,0.0,0.0,0.3270720681500565,2,2.2992829841302607,0.752031240881718
mirip,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
moisturizer,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
muka,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
mungkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
nambah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
ngilangin,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
nyari,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
nyata,0.20511132744227925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18134130626763578,0.386452633709915,2,2.2992829841302607,0.888563964861532
obat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
oily,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
oke,0.0,0.0,0.28375400383846805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28375400383846805,1,2.7047480922384253,0.7674831005471112
padet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
pakai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
pake,0.11761483768090547,0.2025679205712032,0.13831843569987906,0.0,0.0,0.15804111127545925,0.14798078707197376,0.13986933730732062,0.08623793856118717,0.0,0.9906303681679285,7,1.3184537311185345,1.3061003050703328
